GO;PSDB;4599;C�LIO ANT�NIO DA SILVEIRA;C�LIO SILVEIRA;Deputado Federal;Apto;Deferido
SC;PMDB;1560;CELSO MALDANER;CELSO MALDANER;Deputado Federal;Apto;Deferido
RJ;PMDB;1540;CELSO PANSERA;CELSO PANSERA;Deputado Federal;Apto;Deferido
SP;PRB;1000;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANNO;Deputado Federal;Apto;Deferido
SC;PSD;5510;CESAR ANTONIO DE SOUZA;CESAR SOUZA;Deputado Federal;Apto;Deferido
TO;PRB;1010;CESAR HANNA HALUM;CESAR HALUM;Deputado Federal;Apto;Deferido
PR;PTN;1900;CHRISTIANE DE SOUZA YARED;CHRISTIANE YARED;Deputado Federal;Apto;Deferido
RJ;PR;2222;CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA;CLARISSA GAROTINHO;Deputado Federal;Apto;Deferido
BA;DEM;2522;CLAUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;Deputado Federal;Apto;Deferido
MA;PRB;1010;CLEBER VERDE CORDEIRO MENDES;CLEBER VERDE;Deputado Federal;Apto;Deferido
RJ;PTB;1414;CRISTIANE BRASIL FRANCISCO;CRISTIANE BRASIL;Deputado Federal;Apto;Deferido
MS;PDT;1234;DAGOBERTO NOGUEIRA FILHO;DAGOBERTO NOGUEIRA;Deputado Federal;Apto;Deferido
PB;PDT;1212;DAMI�O FELICIANO DA SILVA;DR. DAMI�O;Deputado Federal;Apto;Deferido
MG;PMN;3333;D�MINA DE CARVALHO PEREIRA;D�MINA PEREIRA;Deputado Federal;Apto;Deferido
GO;PMDB;1510;DANIEL ELIAS CARVALHO VILELA;DANIEL VILELA;Deputado Federal;Apto;Deferido
BA;PC do B;6565;DANIEL GOMES DE ALMEIDA;DANIEL ALMEIDA;Deputado Federal;Apto;Deferido
PE;PSDB;4545;DANIEL PIRES COELHO;DANIEL COELHO;Deputado Federal;Apto;Deferido
PE;PSB;4010;DANILO JORGE DE BARROS CABRAL;DANILO CABRAL;Deputado Federal;Apto;Deferido
RS;PSD;5501;DANRLEI DE DEUS HINTERHOLZ;DANRLEI DE DEUS GOLEIRO;Deputado Federal;Apto;Deferido
