RJ;PMDB;15789;BENEDITO ALVES COSTA;BENEDITO ALVES;Deputado Estadual;Apto;Deferido
RJ;PMDB;15153;BERNARDO CHIM ROSSI;BERNARDO ROSSI;Deputado Estadual;Apto;Deferido
PR;PSDB;45745;BERNARDO GUIMARAES RIBAS CARLI;BERNARDO RIBAS CARLI;Deputado Estadual;Apto;Deferido
MG;PTB;14444;BRAULIO JOSE TANUS BRAZ;BRAULIO BRAZ;Deputado Estadual;Apto;Deferido
AL;PSDB;45123;BRUNO ALBUQUERQUE TOLEDO;BRUNO TOLEDO;Deputado Estadual;Apto;Deferido
CE;PEN;51515;BRUNO BARROS GONCALVES;DR BRUNO GONCALVES;Deputado Estadual;Apto;Deferido
PB;PSDB;45222;BRUNO CUNHA LIMA BRANCO;BRUNO CUNHA LIMA;Deputado Estadual;Apto;Deferido
RJ;PR;22789;BRUNO FELGUEIRA DAUAIRE;BRUNO DAUAIRE;Deputado Estadual;Apto;Deferido
ES;PSB;40011;BRUNO LAMAS SILVA;BRUNO LAMAS;Deputado Estadual;Apto;Deferido
GO;PMDB;15700;BRUNO REGIANY PEIXOTO PIMENTA;BRUNO PEIXOTO;Deputado Estadual;Apto;Deferido
BA;PMDB;15333;BRUNO SOARES REIS;BRUNO REIS;Deputado Estadual;Apto;Deferido
CE;PSC;20222;BRUNO TORQUATO PEDROSA;BRUNO PEDROSA;Deputado Estadual;Apto;Deferido
PB;PR;22222;CAIO FIGUEIREDO ROBERTO;CAIO;Deputado Estadual;Apto;Deferido
SP;PSB;40640;CAIO FRAN�A DE GOUVEA GOMES;CAIO FRAN�A;Deputado Estadual;Apto;Deferido
PB;PSDB;45123;CAMILA ARA�JO TOSCANO DE MORAES;CAMILA TOSCANO;Deputado Estadual;Apto;Deferido
CE;PMDB;15150;CARLOMANO GOMES MARQUES;CARLOMANO MARQUES;Deputado Estadual;Apto;Deferido
PA;PT;13130;CARLOS ALBERTO BARROS BORDALO;BORDALO;Deputado Estadual;Apto;Deferido
SC;PMDB;15444;CARLOS ALBERTO CHIODINI;CHIODINI;Deputado Estadual;Apto;Deferido
AM;PRB;10123;CARLOS ALBERTO DE CASTRO ALMEIDA;PASTOR CARLOS ALBERTO;Deputado Estadual;Apto;Deferido
SP;PSDB;45321;CARLOS ALBERTO DE QUADROS BEZERRA JUNIOR;CARLOS BEZERRA JR;Deputado Estadual;Apto;Deferido
SP;PSOL;50789;CARLOS ALBERTO GIANNASI;CARLOS GIANNAZI;Deputado Estadual;Apto;Deferido
RJ;SD;77088;CARLOS ALBERTO LAVRADO CUPELLO;TIO CARLOS;Deputado Estadual;Apto;Deferido
SP;PT;13999;CARLOS ALBERTO PLETZ NEDER;CARLOS NEDER;Deputado Estadual;Apto;Deferido
GO;SD;77123;CARLOS ANT�NIO DE SOUSA COSTA;CARLOS ANT�NIO;Deputado Estadual;Apto;Deferido
AP;PRB;10147;CARLOS ANTONIO OLIVEIRA SANTOS;PASTOR OLIVEIRA;Deputado Estadual;Apto;Deferido
RJ;PSL;17123;CARLOS AUGUSTO CARVALHO BALTHAZAR;CARLOS AUGUSTO;Deputado Estadual;Apto;Deferido com recurso
RN;PT do B;70123;CARLOS AUGUSTO DE PAIVA MAIA;CARLOS AUGUSTO MAIA;Deputado Estadual;Apto;Deferido
SP;PSB;40112;CARLOS CEZAR DA SILVA;PR CARLOS CEZAR;Deputado Estadual;Apto;Deferido
SP;PSDB;45232;CARLOS EDUARDO PIGNATARI;CARL�O PIGNATARI;Deputado Estadual;Apto;Deferido
CE;PC do B;65100;CARLOS FELIPE SARAIVA BEZERRA;CARLOS FELIPE;Deputado Estadual;Apto;Deferido
BA;PTN;19170;CARLOS GEILSON DOS SANTOS SILVA;CARLOS GEILSON;Deputado Estadual;Apto;Deferido
MG;PRB;10123;CARLOS HENRIQUE ALVES DA SILVA;CARLOS HENRIQUE;Deputado Estadual;Apto;Deferido
CE;PSDB;45655;CARLOS MATOS LIMA;CARLOS MATOS;Deputado Estadual;Apto;Deferido
RJ;PT;13001;CARLOS MINC BAUMFELD;CARLOS MINC;Deputado Estadual;Apto;Deferido
RJ;PMDB;15021;CARLOS ROBERTO DE FIGUEIREDO OSORIO;OSORIO;Deputado Estadual;Apto;Deferido
PR;PSC;20123;CARLOS ROBERTO MASSA JUNIOR;RATINHO JUNIOR;Deputado Estadual;Apto;Deferido
BA;PP;11444;CARLOS ROBSON RODRIGUES DA SILVA;ROBINHO;Deputado Estadual;Apto;Deferido
BA;PSD;55123;CARLOS UBALDINO DE SANTANA;CARLOS UBALDINO;Deputado Estadual;Apto;Deferido
MA;PPS;23123;CARLOS WELLINGTON DE CASTRO BEZERRA;WELLINGTON DO CURSO;Deputado Estadual;Apto;Deferido
MG;PDT;12369;CARLOS WELTH PIMENTA DE FIGUEIREDO;CARLOS PIMENTA;Deputado Estadual;Apto;Deferido
MG;PSD;55555;C�SSIO ANTONIO FERREIRA SOARES;C�SSIO SOARES;Deputado Estadual;Apto;Deferido
PA;PSB;40111;CASSIO COELHO ANDRADE;CASSIO ANDRADE;Deputado Estadual;Apto;Deferido
SP;PMDB;15777;CASSIO DE CASTRO NAVARRO;CASSIO NAVARRO;Deputado Estadual;Apto;Deferido
SP;PSDB;45000;CAUE CASEIRO MACRIS;CAU� MACRIS;Deputado Estadual;Apto;Deferido
SP;PSDB;45200;CELIA CAMARGO LEAO EDELMUTH;CELIA LEAO;Deputado Estadual;Apto;Deferido
MG;PMDB;15196;CELISE BARREIROS LAVIOLA CABRAL DE LIRA;CELISE LAVIOLA;Deputado Estadual;Apto;Deferido
SP;PSDB;45555;CELSO ANTONIO GIGLIO;CELSO GIGLIO;Deputado Estadual;Apto;Deferido
SP;PSC;20777;CELSO BRAZ DO NASCIMENTO;PASTOR CELSO NASCIMENTO;Deputado Estadual;Apto;Deferido
PA;PSDB;45678;CELSO SABINO DE OLIVEIRA;CELSO SABINO;Deputado Estadual;Apto;Deferido
SC;PC do B;65123;CESAR ANTONIO VALDUGA;VALDUGA;Deputado Estadual;Apto;Deferido
MA;DEM;25802;CESAR HENRIQUE SANTOS PIRES;CESAR PIRES;Deputado Estadual;Apto;Deferido
GO;PRTB;28600;CHARLES BENTO EVANGELISTA;CHARLES BENTO;Deputado Estadual;Apto;Deferido
RJ;PSD;55255;CHRISTINO AUREO DA SILVA;CHRISTINO �UREO;Deputado Estadual;Apto;Deferido
PA;PSDB;45112;CILENE LISBOA COUTO MARQUES;CILENE COUTO;Deputado Estadual;Apto;Deferido
